estimator,dataset
TimesURL,KERAAL-CTK
TimesURL,KERAAL-CTK-MC
TimesURL,KERAAL-ELK
TimesURL,KERAAL-ELK-MC
TimesURL,KERAAL-RTK-MC
TimesURL,KIMORE-LA-C
TimesURL,KIMORE-Sq-C
TimesURL,KIMORE-TR-C
TimesURL,KINECAL-3WFV
TimesURL,KINECAL-GGFV
TimesURL,KINECAL-QSEC
TimesURL,LiveFuelMoistureContent_disc
TimesURL,PronouncedSpeech
TimesURL,SPHERE-WUS
TimesURL,UCDHE-MP
TimesURL,UCDHE-MP-MC
TimesURL,UCDHE-Rowing
TimesURL,UIPRMD-HS-C
TimesURL,UIPRMD-IL-C
TimesURL,UIPRMD-SASLR-C
TimesURL,UIPRMD-SL-C
TimesURL,UIPRMD-SSA-C
TimesURL,UIPRMD-SSE-C
TimesURL,UIPRMD-SSIER-C
TimesURL,UIPRMD-SSS-C
TimesURL,UIPRMD-STS-C
TimesURL,VisualSpeech
CIF,AsphaltPavementTypeCoordinates
CIF,BasicMotions
CIF,ButtonPress
CIF,FeedbackButton
CIF,FingerMovements
CIF,IRDS-EFL
CIF,IRDS-EFR
CIF,IRDS-SAL
CIF,IRDS-SAR
CIF,IRDS-SFE
CIF,IRDS-SFR
CIF,IRDS-STL
CIF,IRDS-STR
CIF,ImaginedFeetHands
CIF,InnerSpeech
CIF,KERAAL-CTK
CIF,KERAAL-CTK-MC
CIF,KERAAL-ELK
CIF,KERAAL-ELK-MC
CIF,KERAAL-RTK-MC
CIF,KIMORE-LA-C
CIF,KIMORE-Sq-C
CIF,KIMORE-TR-C
CIF,KINECAL-3WFV
CIF,KINECAL-GGFV
CIF,KINECAL-QSEC
CIF,LiveFuelMoistureContent_disc
CIF,PronouncedSpeech
CIF,SPHERE-WUS
CIF,SelfRegulationSCP2
CIF,UCDHE-MP
CIF,UCDHE-MP-MC
CIF,UCDHE-Rowing
CIF,UIPRMD-HS-C
CIF,UIPRMD-IL-C
CIF,UIPRMD-SASLR-C
CIF,UIPRMD-SL-C
CIF,UIPRMD-SSA-C
CIF,UIPRMD-SSE-C
CIF,UIPRMD-SSIER-C
CIF,UIPRMD-SSS-C
CIF,UIPRMD-STS-C
CIF,VisualSpeech
ConvTran,Alzheimers
ConvTran,AsphaltPavementTypeCoordinates
ConvTran,ButtonPress
ConvTran,EigenWorms
ConvTran,FeedbackButton
ConvTran,IRDS-EFL
ConvTran,IRDS-EFR
ConvTran,IRDS-SAL
ConvTran,IRDS-SAR
ConvTran,IRDS-SFE
ConvTran,IRDS-SFR
ConvTran,IRDS-STL
ConvTran,IRDS-STR
ConvTran,ImaginedFeetHands
ConvTran,InnerSpeech
ConvTran,KERAAL-CTK
ConvTran,KERAAL-CTK-MC
ConvTran,KERAAL-ELK
ConvTran,KERAAL-ELK-MC
ConvTran,KERAAL-RTK-MC
ConvTran,KIMORE-LA-C
ConvTran,KIMORE-Sq-C
ConvTran,KIMORE-TR-C
ConvTran,KINECAL-3WFV
ConvTran,KINECAL-GGFV
ConvTran,KINECAL-QSEC
ConvTran,LiveFuelMoistureContent_disc
ConvTran,PhotoStimulation
ConvTran,PronouncedSpeech
ConvTran,SPHERE-WUS
ConvTran,UCDHE-MP
ConvTran,UCDHE-MP-MC
ConvTran,UCDHE-Rowing
ConvTran,UIPRMD-HS-C
ConvTran,UIPRMD-IL-C
ConvTran,UIPRMD-SASLR-C
ConvTran,UIPRMD-SL-C
ConvTran,UIPRMD-SSA-C
ConvTran,UIPRMD-SSE-C
ConvTran,UIPRMD-SSIER-C
ConvTran,UIPRMD-SSS-C
ConvTran,UIPRMD-STS-C
ConvTran,VisualSpeech
DisjointCNN,AsphaltPavementTypeCoordinates
DisjointCNN,BasicMotions
DisjointCNN,ButtonPress
DisjointCNN,FeedbackButton
DisjointCNN,FingerMovements
DisjointCNN,IRDS-EFL
DisjointCNN,IRDS-EFR
DisjointCNN,IRDS-SAL
DisjointCNN,IRDS-SAR
DisjointCNN,IRDS-SFE
DisjointCNN,IRDS-SFR
DisjointCNN,IRDS-STL
DisjointCNN,IRDS-STR
DisjointCNN,ImaginedFeetHands
DisjointCNN,InnerSpeech
DisjointCNN,KERAAL-CTK
DisjointCNN,KERAAL-CTK-MC
DisjointCNN,KERAAL-ELK
DisjointCNN,KERAAL-ELK-MC
DisjointCNN,KERAAL-RTK-MC
DisjointCNN,KIMORE-LA-C
DisjointCNN,KIMORE-Sq-C
DisjointCNN,KIMORE-TR-C
DisjointCNN,KINECAL-3WFV
DisjointCNN,KINECAL-GGFV
DisjointCNN,KINECAL-QSEC
DisjointCNN,LiveFuelMoistureContent_disc
DisjointCNN,PronouncedSpeech
DisjointCNN,SPHERE-WUS
DisjointCNN,SelfRegulationSCP2
DisjointCNN,UCDHE-MP
DisjointCNN,UCDHE-MP-MC
DisjointCNN,UCDHE-Rowing
DisjointCNN,UIPRMD-HS-C
DisjointCNN,UIPRMD-IL-C
DisjointCNN,UIPRMD-SASLR-C
DisjointCNN,UIPRMD-SL-C
DisjointCNN,UIPRMD-SSA-C
DisjointCNN,UIPRMD-SSE-C
DisjointCNN,UIPRMD-SSIER-C
DisjointCNN,UIPRMD-SSS-C
DisjointCNN,UIPRMD-STS-C
DisjointCNN,VisualSpeech
DrCIF,AsphaltPavementTypeCoordinates
DrCIF,BasicMotions
DrCIF,ButtonPress
DrCIF,FeedbackButton
DrCIF,FingerMovements
DrCIF,IRDS-EFL
DrCIF,IRDS-EFR
DrCIF,IRDS-SAL
DrCIF,IRDS-SAR
DrCIF,IRDS-SFE
DrCIF,IRDS-SFR
DrCIF,IRDS-STL
DrCIF,IRDS-STR
DrCIF,ImaginedFeetHands
DrCIF,InnerSpeech
DrCIF,KERAAL-CTK
DrCIF,KERAAL-CTK-MC
DrCIF,KERAAL-ELK
DrCIF,KERAAL-ELK-MC
DrCIF,KERAAL-RTK-MC
DrCIF,KIMORE-LA-C
DrCIF,KIMORE-Sq-C
DrCIF,KIMORE-TR-C
DrCIF,KINECAL-3WFV
DrCIF,KINECAL-GGFV
DrCIF,KINECAL-QSEC
DrCIF,LiveFuelMoistureContent_disc
DrCIF,PronouncedSpeech
DrCIF,SPHERE-WUS
DrCIF,SelfRegulationSCP2
DrCIF,UCDHE-MP
DrCIF,UCDHE-MP-MC
DrCIF,UCDHE-Rowing
DrCIF,UIPRMD-HS-C
DrCIF,UIPRMD-IL-C
DrCIF,UIPRMD-SASLR-C
DrCIF,UIPRMD-SL-C
DrCIF,UIPRMD-SSA-C
DrCIF,UIPRMD-SSE-C
DrCIF,UIPRMD-SSIER-C
DrCIF,UIPRMD-SSS-C
DrCIF,UIPRMD-STS-C
DrCIF,VisualSpeech
STSF,AsphaltPavementTypeCoordinates
STSF,BasicMotions
STSF,ButtonPress
STSF,FeedbackButton
STSF,FingerMovements
STSF,IRDS-EFL
STSF,IRDS-EFR
STSF,IRDS-SAL
STSF,IRDS-SAR
STSF,IRDS-SFE
STSF,IRDS-SFR
STSF,IRDS-STL
STSF,IRDS-STR
STSF,ImaginedFeetHands
STSF,InnerSpeech
STSF,KERAAL-CTK
STSF,KERAAL-CTK-MC
STSF,KERAAL-ELK
STSF,KERAAL-ELK-MC
STSF,KERAAL-RTK-MC
STSF,KIMORE-LA-C
STSF,KIMORE-Sq-C
STSF,KIMORE-TR-C
STSF,KINECAL-3WFV
STSF,KINECAL-GGFV
STSF,KINECAL-QSEC
STSF,LiveFuelMoistureContent_disc
STSF,PronouncedSpeech
STSF,SPHERE-WUS
STSF,SelfRegulationSCP2
STSF,UCDHE-MP
STSF,UCDHE-MP-MC
STSF,UCDHE-Rowing
STSF,UIPRMD-HS-C
STSF,UIPRMD-IL-C
STSF,UIPRMD-SASLR-C
STSF,UIPRMD-SL-C
STSF,UIPRMD-SSA-C
STSF,UIPRMD-SSE-C
STSF,UIPRMD-SSIER-C
STSF,UIPRMD-SSS-C
STSF,UIPRMD-STS-C
STSF,VisualSpeech
Summary,AsphaltPavementTypeCoordinates
Summary,BasicMotions
Summary,ButtonPress
Summary,FeedbackButton
Summary,FingerMovements
Summary,IRDS-EFL
Summary,IRDS-EFR
Summary,IRDS-SAL
Summary,IRDS-SAR
Summary,IRDS-SFE
Summary,IRDS-SFR
Summary,IRDS-STL
Summary,IRDS-STR
Summary,ImaginedFeetHands
Summary,InnerSpeech
Summary,KERAAL-CTK
Summary,KERAAL-CTK-MC
Summary,KERAAL-ELK
Summary,KERAAL-ELK-MC
Summary,KERAAL-RTK-MC
Summary,KIMORE-LA-C
Summary,KIMORE-Sq-C
Summary,KIMORE-TR-C
Summary,KINECAL-3WFV
Summary,KINECAL-GGFV
Summary,KINECAL-QSEC
Summary,LiveFuelMoistureContent_disc
Summary,PronouncedSpeech
Summary,SPHERE-WUS
Summary,SelfRegulationSCP2
Summary,UCDHE-MP
Summary,UCDHE-MP-MC
Summary,UCDHE-Rowing
Summary,UIPRMD-HS-C
Summary,UIPRMD-IL-C
Summary,UIPRMD-SASLR-C
Summary,UIPRMD-SL-C
Summary,UIPRMD-SSA-C
Summary,UIPRMD-SSE-C
Summary,UIPRMD-SSIER-C
Summary,UIPRMD-SSS-C
Summary,UIPRMD-STS-C
Summary,VisualSpeech
TSF,AsphaltPavementTypeCoordinates
TSF,BasicMotions
TSF,ButtonPress
TSF,FeedbackButton
TSF,FingerMovements
TSF,IRDS-EFL
TSF,IRDS-EFR
TSF,IRDS-SAL
TSF,IRDS-SAR
TSF,IRDS-SFE
TSF,IRDS-SFR
TSF,IRDS-STL
TSF,IRDS-STR
TSF,ImaginedFeetHands
TSF,InnerSpeech
TSF,KERAAL-CTK
TSF,KERAAL-CTK-MC
TSF,KERAAL-ELK
TSF,KERAAL-ELK-MC
TSF,KERAAL-RTK-MC
TSF,KIMORE-LA-C
TSF,KIMORE-Sq-C
TSF,KIMORE-TR-C
TSF,KINECAL-3WFV
TSF,KINECAL-GGFV
TSF,KINECAL-QSEC
TSF,LiveFuelMoistureContent_disc
TSF,PronouncedSpeech
TSF,SPHERE-WUS
TSF,SelfRegulationSCP2
TSF,UCDHE-MP
TSF,UCDHE-MP-MC
TSF,UCDHE-Rowing
TSF,UIPRMD-HS-C
TSF,UIPRMD-IL-C
TSF,UIPRMD-SASLR-C
TSF,UIPRMD-SL-C
TSF,UIPRMD-SSA-C
TSF,UIPRMD-SSE-C
TSF,UIPRMD-SSIER-C
TSF,UIPRMD-SSS-C
TSF,UIPRMD-STS-C
TSF,VisualSpeech
XCM,AsphaltPavementTypeCoordinates
XCM,BasicMotions
XCM,ButtonPress
XCM,FeedbackButton
XCM,FingerMovements
XCM,IRDS-EFL
XCM,IRDS-EFR
XCM,IRDS-SAL
XCM,IRDS-SAR
XCM,IRDS-SFE
XCM,IRDS-SFR
XCM,IRDS-STL
XCM,IRDS-STR
XCM,ImaginedFeetHands
XCM,InnerSpeech
XCM,KERAAL-CTK
XCM,KERAAL-CTK-MC
XCM,KERAAL-ELK
XCM,KERAAL-ELK-MC
XCM,KERAAL-RTK-MC
XCM,KIMORE-LA-C
XCM,KIMORE-Sq-C
XCM,KIMORE-TR-C
XCM,KINECAL-3WFV
XCM,KINECAL-GGFV
XCM,KINECAL-QSEC
XCM,LiveFuelMoistureContent_disc
XCM,PronouncedSpeech
XCM,SPHERE-WUS
XCM,SelfRegulationSCP2
XCM,UCDHE-MP
XCM,UCDHE-MP-MC
XCM,UCDHE-Rowing
XCM,UIPRMD-HS-C
XCM,UIPRMD-IL-C
XCM,UIPRMD-SASLR-C
XCM,UIPRMD-SL-C
XCM,UIPRMD-SSA-C
XCM,UIPRMD-SSE-C
XCM,UIPRMD-SSIER-C
XCM,UIPRMD-SSS-C
XCM,UIPRMD-STS-C
XCM,VisualSpeech
TS2Vec,AsphaltPavementTypeCoordinates
TS2Vec,BasicMotions
TS2Vec,ButtonPress
TS2Vec,FeedbackButton
TS2Vec,FingerMovements
TS2Vec,IRDS-EFL
TS2Vec,IRDS-EFR
TS2Vec,IRDS-SAL
TS2Vec,IRDS-SAR
TS2Vec,IRDS-SFE
TS2Vec,IRDS-SFR
TS2Vec,IRDS-STL
TS2Vec,IRDS-STR
TS2Vec,ImaginedFeetHands
TS2Vec,InnerSpeech
TS2Vec,KERAAL-CTK
TS2Vec,KERAAL-CTK-MC
TS2Vec,KERAAL-ELK
TS2Vec,KERAAL-ELK-MC
TS2Vec,KERAAL-RTK-MC
TS2Vec,KIMORE-LA-C
TS2Vec,KIMORE-Sq-C
TS2Vec,KIMORE-TR-C
TS2Vec,KINECAL-3WFV
TS2Vec,KINECAL-GGFV
TS2Vec,KINECAL-QSEC
TS2Vec,LiveFuelMoistureContent_disc
TS2Vec,Locust2022
TS2Vec,PronouncedSpeech
TS2Vec,SPHERE-WUS
TS2Vec,SelfRegulationSCP2
TS2Vec,UCDHE-MP
TS2Vec,UCDHE-MP-MC
TS2Vec,UCDHE-Rowing
TS2Vec,UIPRMD-HS-C
TS2Vec,UIPRMD-IL-C
TS2Vec,UIPRMD-SASLR-C
TS2Vec,UIPRMD-SL-C
TS2Vec,UIPRMD-SSA-C
TS2Vec,UIPRMD-SSE-C
TS2Vec,UIPRMD-SSIER-C
TS2Vec,UIPRMD-SSS-C
TS2Vec,UIPRMD-STS-C
TS2Vec,VisualSpeech
