Dataset,BORF,DRCIF,HYDRA,IT,MINIROCKET,MRHYDRA,MRSEQL,MRSQM,RDST,ROCKET,RSTSF,ST,W+MUSE
FaceAll,0.802,0.764,0.898,0.764,0.807,0.808,0.780,0.783,0.798,0.947,0.864,0.750,0.778
FaceDetection,0.589,0.591,0.523,0.650,0.582,0.619,,0.491,0.629,0.606,,,
FaceFour,1.000,0.977,0.886,0.966,0.989,0.955,1.000,0.989,0.989,0.977,1.000,0.886,0.841
FacesUCR,0.942,0.897,0.956,0.961,0.960,0.960,0.929,0.893,0.967,0.961,0.903,0.889,0.906
FiftyWords,0.730,0.804,0.842,0.815,0.837,0.862,0.716,0.593,0.840,0.833,0.763,0.730,0.769
FingMvmnt,0.560,0.470,0.550,0.500,0.570,0.560,0.480,0.550,0.540,0.550,0.570,0.570,0.580
Fish,0.966,0.954,0.989,0.971,0.977,0.983,0.966,0.949,0.989,0.983,0.909,0.960,0.994
FordA,0.937,0.971,0.961,0.950,0.948,0.955,0.934,0.911,0.950,0.935,0.975,0.939,
FordB,0.801,0.806,0.825,0.847,0.820,0.831,0.790,0.735,0.833,0.810,0.828,0.826,
FRTrain,0.998,0.999,0.998,0.997,1.000,1.000,0.998,0.995,0.999,0.997,0.999,0.996,0.995
FSTrain,0.991,0.999,0.926,0.845,0.967,0.995,0.996,0.960,0.996,0.951,0.980,0.959,0.949
Fungi,1.000,0.930,1.000,0.995,1.000,1.000,0.930,0.806,1.000,1.000,0.919,0.839,1.000
GMD1,0.746,0.723,0.754,0.692,0.715,0.769,0.762,0.646,0.785,0.785,0.731,0.769,0.615
GMD2,0.662,0.685,0.638,0.562,0.631,0.669,0.677,0.577,0.715,0.723,0.615,0.646,0.462
GMD3,0.469,0.554,0.500,0.377,0.392,0.492,0.500,0.377,0.554,0.485,0.531,0.577,0.323
GPZ1,0.872,0.878,0.826,0.907,0.890,0.890,0.849,0.878,0.924,0.878,0.866,0.808,0.651
GPZ2,0.873,0.810,0.810,0.835,0.835,0.823,0.854,0.810,0.861,0.842,0.804,0.816,0.620
GunPoint,1.000,0.993,1.000,1.000,0.993,1.000,0.993,0.987,1.000,1.000,0.973,1.000,1.000
GP-AS,0.987,0.991,1.000,0.975,0.997,1.000,0.991,0.994,0.997,0.997,0.991,0.984,1.000
GP-MVF,1.000,1.000,1.000,0.997,1.000,1.000,0.987,0.987,1.000,0.997,1.000,0.968,1.000
GP-OY,0.997,1.000,1.000,1.000,1.000,1.000,0.968,0.965,1.000,0.994,1.000,0.975,1.000
Ham,0.743,0.705,0.743,0.714,0.714,0.743,0.676,0.762,0.705,0.714,0.752,0.762,0.686
HandMovementDirection,0.284,0.514,0.216,0.405,0.392,0.365,0.351,0.351,0.324,0.514,0.459,0.338,0.311
HandOutlines,0.930,0.922,0.941,0.962,0.935,0.946,0.943,0.911,0.946,0.943,0.914,0.922,0.924
Handwriting,0.520,0.362,0.466,0.648,0.518,0.514,0.461,0.322,0.600,0.587,0.365,0.449,0.366
Haptics,0.487,0.519,0.513,0.539,0.529,0.529,0.510,0.513,0.575,0.526,0.500,0.529,0.390
Heartbeat,0.741,0.790,0.761,0.678,0.741,0.732,0.702,0.727,0.756,0.756,0.780,0.732,0.746
Herring,0.609,0.578,0.750,0.656,0.688,0.734,0.609,0.578,0.688,0.594,0.578,0.672,0.641
Hse20,0.992,0.916,0.958,0.941,0.958,0.992,0.899,0.941,0.966,0.966,0.916,0.899,0.975
InlSkate,0.405,0.531,0.491,0.489,0.476,0.496,0.445,0.329,0.447,0.469,0.615,0.425,0.578
IEPG-RT,0.988,1.000,1.000,1.000,1.000,1.000,0.976,0.948,1.000,1.000,1.000,0.996,1.000
IEPG-ST,0.928,1.000,1.000,1.000,0.992,1.000,0.896,0.795,0.992,0.980,1.000,0.976,1.000
IWingImp,0.519,0.664,0.679,0.692,0.673,0.667,,0.303,0.482,0.399,,,
IWingSound,0.633,0.682,0.655,0.627,0.672,0.667,0.599,0.552,0.665,0.666,0.668,0.648,0.627
ItalyPowerDemand,0.954,0.968,0.966,0.971,0.963,0.968,0.907,0.926,0.856,0.970,0.972,0.962,0.948
JapVow,0.795,0.973,0.978,0.989,0.992,0.978,0.965,0.930,0.965,0.854,0.965,0.762,0.954
LSST,0.603,0.565,0.607,0.506,0.651,0.636,0.681,0.576,0.647,0.636,0.628,0.639,0.603
LrgKitchAppl,0.923,0.821,0.883,0.888,0.875,0.896,0.872,0.915,0.824,0.896,0.811,0.851,0.672
Libras,0.844,0.894,0.933,0.878,0.917,0.928,0.817,0.800,0.944,0.906,0.917,0.872,0.906
Lightning2,0.803,0.754,0.721,0.770,0.754,0.672,0.672,0.623,0.738,0.787,0.787,0.787,0.672
Lightning7,0.795,0.753,0.808,0.822,0.795,0.822,0.795,0.630,0.781,0.822,0.753,0.753,0.644
Mallat,0.939,0.925,0.941,0.944,0.946,0.929,0.938,0.897,0.954,0.956,0.972,0.982,0.942
Meat,0.850,0.933,0.917,0.933,0.967,0.933,0.917,0.883,0.950,0.950,0.967,0.933,0.833
MedicalImages,0.696,0.786,0.778,0.780,0.791,0.797,0.701,0.617,0.763,0.807,0.826,0.742,0.734
MelbournePedestrian,0.836,0.964,0.926,0.972,0.966,0.967,0.812,0.845,0.965,0.908,0.971,0.932,0.887
MP-OAG,0.623,0.610,0.597,0.487,0.552,0.584,0.519,0.552,0.571,0.552,0.623,0.571,0.571
MP-OC,0.759,0.832,0.835,0.797,0.849,0.845,0.729,0.691,0.808,0.838,0.845,0.838,0.790
MP-TW,0.591,0.591,0.539,0.506,0.526,0.513,0.532,0.487,0.558,0.539,0.591,0.526,0.539
MxShpRT,0.952,0.956,0.981,0.967,0.971,0.982,0.963,0.962,0.983,0.973,0.952,0.962,0.986
MxShpST,0.920,0.922,0.965,0.904,0.950,0.967,0.903,0.930,0.967,0.936,0.898,0.938,0.960
MoteStrain,0.946,0.932,0.929,0.888,0.927,0.946,0.894,0.923,0.918,0.917,0.951,0.903,0.933
MotionImage,0.460,0.500,0.500,0.570,0.500,0.480,,,0.540,0.540,0.500,0.510,0.570
NATOPS,0.917,0.828,0.872,0.967,0.944,0.917,0.911,0.867,0.878,0.872,0.861,0.878,0.922
NonInvasiveFetalECGThorax1,0.902,0.931,0.943,0.910,0.949,0.964,0.925,0.780,0.924,0.958,0.926,0.927,0.913
NonInvasiveFetalECGThorax2,0.916,0.935,0.958,0.959,0.964,0.968,0.946,0.838,0.938,0.966,0.942,0.947,0.926
OSULeaf,0.950,0.847,0.988,0.897,0.959,0.963,0.942,0.967,0.988,0.942,0.872,0.880,0.988
OliveOil,0.900,0.933,0.933,0.833,0.933,0.967,0.867,0.933,0.900,0.900,0.933,0.800,0.867
PEMS-SF,0.908,1.000,0.803,0.809,0.827,0.775,,,0.919,0.844,1.000,0.971,
PLAID,0.885,0.907,0.819,0.534,0.877,0.909,0.883,0.890,0.905,0.858,0.888,0.784,0.736
PenDigits,0.920,0.973,0.968,0.987,,0.968,0.872,0.941,0.985,0.979,,,0.953
POC,0.748,0.844,0.823,0.831,0.840,0.844,0.742,0.703,0.819,0.837,0.844,0.837,0.807
Phoneme,0.317,0.400,0.324,0.334,0.294,0.354,0.276,0.341,0.341,0.281,0.369,0.346,0.339
PhonemeSpectra,0.251,0.296,0.329,0.306,0.317,0.332,0.232,0.220,0.313,0.279,0.287,0.307,
PGWZ,0.700,0.720,0.700,0.640,0.780,0.780,0.680,0.680,0.780,0.740,0.720,0.580,0.520
PAP,0.659,0.245,0.769,0.933,0.865,0.712,0.587,0.957,0.822,0.394,0.245,0.668,0.851
PAPress,0.986,0.885,0.986,1.000,0.981,0.957,0.904,0.971,0.942,0.962,0.750,0.962,1.000
PCVP,0.952,0.591,0.966,0.947,0.947,0.894,0.707,0.952,0.938,0.933,0.644,0.846,0.976
Plane,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PwrCons,0.889,1.000,0.978,1.000,0.994,0.983,0.878,0.872,0.994,0.933,1.000,0.983,0.933
PP-OAG,0.844,0.849,0.868,0.829,0.834,0.868,0.820,0.844,0.844,0.859,0.854,0.834,0.844
PP-OC,0.859,0.897,0.911,0.918,0.904,0.924,0.804,0.811,0.883,0.900,0.911,0.893,0.900
PP-TW,0.800,0.795,0.810,0.776,0.800,0.805,0.815,0.761,0.820,0.805,0.810,0.746,0.815
RacketS,0.908,0.888,0.914,0.882,0.855,0.908,0.816,0.829,0.882,0.908,0.901,0.822,0.862
RefDev,0.608,0.613,0.528,0.533,0.480,0.517,0.616,0.635,0.568,0.512,0.600,0.536,0.552
Rock,0.880,0.700,0.920,0.640,0.820,0.860,0.820,0.880,0.880,0.900,0.800,0.940,0.800
ScreenType,0.515,0.555,0.493,0.603,0.461,0.565,0.552,0.509,0.509,0.467,0.541,0.533,0.472
SRSCP1,0.758,0.870,0.867,0.829,0.918,0.952,0.635,0.652,0.898,0.853,0.867,0.836,0.799
SRSCP2,0.472,0.511,0.589,0.550,0.544,0.567,0.533,0.533,0.511,0.528,0.567,0.467,0.600
SHG-Ch2,0.892,0.932,0.847,0.865,0.888,0.950,0.840,0.805,0.923,0.928,0.973,0.957,0.797
SemgHandMovementCh2,0.638,0.849,0.496,0.456,0.676,0.773,0.638,0.367,0.702,0.629,0.856,0.876,0.284
SemgHandSubjectCh2,0.867,0.913,0.771,0.711,0.867,0.902,0.882,0.758,0.853,0.887,0.922,0.949,0.611
SWGZ,0.820,0.860,0.840,0.780,0.860,0.900,0.760,0.880,0.880,0.900,0.800,0.860,0.680
ShapeSim,1.000,0.972,0.989,0.956,1.000,1.000,0.672,1.000,1.000,1.000,0.972,0.978,1.000
ShapesAll,0.897,0.867,0.928,0.917,0.923,0.928,0.928,0.822,0.927,0.905,0.868,0.838,0.945
SmKitchAppl,0.757,0.821,0.808,0.763,0.827,0.805,0.837,0.797,0.827,0.808,0.832,0.811,0.773
SmthSubsp,0.880,0.980,0.927,0.993,0.953,0.980,0.800,0.913,0.987,0.973,0.980,0.953,0.800
SonySurf1,0.759,0.917,0.920,0.907,0.887,0.887,0.747,0.790,0.892,0.925,0.899,0.937,0.517
SonySurf2,0.935,0.918,0.948,0.955,0.921,0.942,0.879,0.937,0.901,0.919,0.881,0.925,0.940
SpArabDig,0.986,0.978,0.989,0.993,0.993,0.993,0.961,0.933,0.997,0.996,0.983,0.945,0.986
SwJ,0.400,0.400,0.400,0.467,0.400,0.600,0.667,0.667,0.467,0.467,0.467,0.467,0.400
StarLightCurves,0.976,0.981,0.982,0.979,0.982,0.981,0.980,0.969,0.983,0.981,0.980,0.978,0.979
Strawberry,0.968,0.965,0.973,0.849,0.984,0.976,0.962,0.954,0.976,0.981,0.968,0.973,0.973
SwedishLeaf,0.926,0.974,0.978,0.970,0.962,0.976,0.942,0.918,0.965,0.962,0.958,0.917,0.971
Symbols,0.956,0.967,0.980,0.983,0.983,0.981,0.963,0.972,0.980,0.973,0.968,0.942,0.974
SyntheticControl,0.977,1.000,0.957,0.997,0.987,0.997,0.957,0.967,0.993,1.000,0.993,0.997,0.980
ToeSegmentation1,0.969,0.925,0.961,0.956,0.961,0.956,0.965,0.947,0.969,0.952,0.899,0.956,0.961
ToeSegmentation2,0.923,0.885,0.908,0.954,0.923,0.915,0.869,0.908,0.908,0.931,0.885,0.815,0.938
Trace,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.990,1.000
2LeadECG,0.999,0.996,0.999,0.995,0.998,0.998,0.993,0.998,0.996,0.999,0.986,0.996,1.000
TwoPatt,0.995,1.000,0.987,1.000,0.997,1.000,0.998,0.921,1.000,1.000,0.997,0.988,0.996
UMD,0.993,0.972,0.993,0.993,0.993,0.993,0.938,0.972,1.000,0.993,0.986,0.972,0.986
UWGL,0.944,0.938,0.909,0.891,0.931,0.941,0.778,0.591,0.931,0.941,0.906,0.891,0.909
UWGL-AIl,0.940,0.972,0.973,0.941,0.971,0.980,0.919,0.734,0.980,0.976,0.961,0.960,0.889
UWGL-X,0.811,0.843,0.854,0.827,0.848,0.875,0.807,0.691,0.854,0.853,0.829,0.811,0.826
UWGL-Y,0.731,0.769,0.792,0.753,0.776,0.810,0.711,0.619,0.764,0.779,0.758,0.731,0.732
UWGL-Z,0.748,0.781,0.803,0.765,0.801,0.821,0.759,0.642,0.800,0.797,0.776,0.780,0.768
Wafer,1.000,0.999,1.000,0.999,0.999,1.000,0.995,1.000,1.000,0.998,1.000,1.000,0.999
Wine,0.648,0.815,0.907,0.667,0.852,0.926,0.741,0.815,0.889,0.778,0.870,0.944,0.833
WordSynonyms,0.654,0.680,0.743,0.730,0.760,0.777,0.629,0.487,0.745,0.752,0.636,0.654,0.657
Worms,0.688,0.753,0.753,0.805,0.740,0.779,0.766,0.753,0.688,0.727,0.753,0.766,0.805
WormsTwoClass,0.727,0.805,0.766,0.766,0.779,0.779,0.805,0.740,0.740,0.805,0.792,0.844,0.792
Yoga,0.857,0.873,0.927,0.904,0.910,0.929,0.869,0.761,0.932,0.910,0.877,0.890,0.934
